project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
AI/ML Solution,Education,15,2,5,7,2118087.14
AI/ML Solution,Finance,18,8,2,5,12388128.87
Web Application,Education,4,2,3,4,503643.9
Blockchain Solution,Healthcare,8,8,4,4,6126425.45
Legacy System Modernization,Healthcare,16,15,4,0,16854294.69
Cybersecurity Implementation,Startup,3,3,3,1,518220.45
Mobile Application,Education,10,9,1,10,5537973.85
AI/ML Solution,Startup,2,3,1,3,355033.64
Cybersecurity Implementation,Retail,4,4,4,5,1159263.52
SaaS Product,Healthcare,6,14,1,10,11264369.47
Cybersecurity Implementation,Startup,11,13,1,6,8909241.58
SaaS Product,Retail,14,4,3,0,6379243.52
IoT System,Startup,16,2,3,7,2487154.5
ERP System,Education,2,6,1,0,775742.7
ERP System,Education,17,6,3,8,6943601.37
CRM System,Education,9,11,5,3,7887647.2
DevOps Automation,Education,17,6,4,6,8129856.86
CRM System,Finance,15,15,5,10,23218366.5
SaaS Product,Retail,7,14,5,5,9285080.33
Legacy System Modernization,Retail,3,10,1,8,1848560.84
Cloud Migration,Education,1,7,1,1,400843.51
Mobile Application,Finance,4,7,5,10,2920491.27
Cloud Migration,Education,18,4,5,6,6576976.74
Business Intelligence Dashboard,Finance,8,6,2,10,4092310.29
Cloud Migration,Education,6,11,2,4,4347344.17
Web Application,Healthcare,1,8,4,6,554149.52
Cloud Migration,Healthcare,8,4,5,0,2840842.24
CRM System,Startup,1,3,3,10,170244.3
AI/ML Solution,Education,11,6,2,10,6614983.43
E-commerce Platform,Retail,15,4,1,9,3821348.78
AI/ML Solution,Startup,11,6,5,8,6237598.41
ERP System,Healthcare,10,10,3,0,7905851.5
E-commerce Platform,Education,12,12,3,4,10273166.82
Blockchain Solution,Startup,1,11,3,7,834571.31
Mobile Application,Education,7,2,1,0,741496.87
Mobile Application,Healthcare,17,5,2,6,5933473.18
Web Application,Startup,10,11,3,1,7092127.57
Legacy System Modernization,Healthcare,6,6,2,6,2437996.12
CRM System,Finance,17,3,4,6,3971541.65
ERP System,Healthcare,18,13,1,8,16732203.03
IoT System,Education,5,3,2,5,1071858.14
Business Intelligence Dashboard,Retail,18,2,2,3,2442707.09
Legacy System Modernization,Healthcare,17,15,3,6,22171309.65
Mobile Application,Retail,16,9,3,6,10374294.76
AI/ML Solution,Finance,8,3,1,3,1836985.1
Cloud Migration,Startup,13,4,2,1,2961470.84
Cloud Migration,Startup,16,13,5,10,17150734.44
Blockchain Solution,Retail,11,3,3,8,2933019.01
ERP System,Startup,6,5,3,7,2047458.86
CRM System,Healthcare,3,15,4,4,3913419.49
CRM System,Retail,1,2,1,4,126975.28
DevOps Automation,Education,18,4,2,0,3421207.11
SaaS Product,Healthcare,5,6,2,10,2456632.56
Data Engineering Pipeline,Healthcare,13,11,2,8,11806713.55
Mobile Application,Healthcare,10,2,3,10,1717391.81
CRM System,Education,5,5,1,9,1298761.25
Blockchain Solution,Finance,14,7,2,10,9791243.95
AI/ML Solution,Startup,17,5,5,7,8084688.79
ERP System,Retail,1,8,4,4,692235.2
Business Intelligence Dashboard,Finance,2,15,4,9,2698087.21
DevOps Automation,Retail,7,8,2,5,3619531.34
Blockchain Solution,Startup,10,7,3,9,5538865.94
Cybersecurity Implementation,Education,7,10,4,10,6327974.23
Web Application,Healthcare,16,3,4,9,4486188.18
Business Intelligence Dashboard,Healthcare,5,14,4,7,5756737.11
SaaS Product,Education,12,11,4,5,10271614.29
Cybersecurity Implementation,Finance,17,9,2,9,12780741.94
IoT System,Finance,16,9,1,3,10449006.68
SaaS Product,Retail,16,12,1,2,9418100.58
Cloud Migration,Education,15,11,3,6,12327059.7
Web Application,Finance,12,15,5,1,15018065.11
Mobile Application,Education,10,15,1,6,7229488.43
AI/ML Solution,Startup,2,12,5,0,1988902.42
Web Application,Healthcare,7,5,1,9,1829178.18
SaaS Product,Healthcare,13,7,1,4,6015925.14
Data Engineering Pipeline,Healthcare,3,12,3,8,2911534.4
Cybersecurity Implementation,Education,15,7,4,0,8640290.6
Mobile Application,Education,1,6,3,7,453903.17
E-commerce Platform,Retail,3,15,1,8,2695884.12
Data Engineering Pipeline,Healthcare,10,2,4,8,2113334.75
Cloud Migration,Retail,15,4,4,7,4803571.72
Data Engineering Pipeline,Healthcare,6,8,4,3,4160043.33
DevOps Automation,Retail,15,9,5,6,11854776.51
DevOps Automation,Retail,7,3,1,0,1248361.82
IoT System,Startup,5,4,2,6,1308037.25
SaaS Product,Retail,4,5,3,5,1604691.82
ERP System,Education,18,15,5,4,25000914.78
Business Intelligence Dashboard,Retail,3,12,3,0,2380486.14
Business Intelligence Dashboard,Healthcare,17,6,2,7,7193861.04
E-commerce Platform,Retail,18,4,4,9,5712023.61
E-commerce Platform,Finance,18,6,2,0,7432981.4
Mobile Application,Healthcare,2,9,3,0,1311520.47
Cloud Migration,Finance,13,9,2,2,9304521.78
CRM System,Healthcare,15,15,1,7,13532130.54
IoT System,Education,5,3,2,7,1046365.66
DevOps Automation,Education,3,7,1,6,1189344.75
Mobile Application,Education,5,5,2,4,1529789.56
CRM System,Finance,5,10,1,7,3683166.78
Business Intelligence Dashboard,Startup,5,11,1,1,2753362.97
ERP System,Healthcare,3,3,2,7,730878.98
Data Engineering Pipeline,Education,3,9,5,10,2337698.94
DevOps Automation,Healthcare,18,2,4,1,2889424.57
Mobile Application,Finance,4,12,4,9,4490946.9
Web Application,Startup,1,7,4,4,487352.76
CRM System,Finance,16,12,1,10,14202219.42
Data Engineering Pipeline,Healthcare,8,12,4,3,7485348.14
DevOps Automation,Startup,17,15,1,0,12412756.19
Business Intelligence Dashboard,Startup,8,13,5,4,7957923.83
Blockchain Solution,Finance,7,11,2,6,7350953.17
Cloud Migration,Education,8,14,2,0,7313081.61
CRM System,Healthcare,12,2,1,1,1397363.18
Business Intelligence Dashboard,Retail,16,3,1,8,3003094.23
DevOps Automation,Retail,12,4,5,4,3966781.75
CRM System,Finance,10,10,4,6,9574241.6
IoT System,Healthcare,7,6,5,1,3939647.0
Data Engineering Pipeline,Healthcare,12,11,2,6,10088208.41
Legacy System Modernization,Finance,5,11,2,6,4633883.16
DevOps Automation,Healthcare,16,13,4,6,17379675.51
IoT System,Education,9,3,2,4,1745311.22
Cybersecurity Implementation,Finance,7,11,1,8,5929550.8
Mobile Application,Education,14,6,2,1,5030193.42
Blockchain Solution,Healthcare,11,6,3,3,6178900.51
E-commerce Platform,Finance,7,2,4,1,1261307.95
Data Engineering Pipeline,Healthcare,10,4,4,7,3610296.7
CRM System,Finance,9,6,4,10,9669171.7
Cloud Migration,Healthcare,4,10,3,0,3369311.62
Business Intelligence Dashboard,Education,16,11,5,8,13437522.87
E-commerce Platform,Education,10,2,1,4,1139476.13
Web Application,Healthcare,17,9,4,10,11524675.48
Business Intelligence Dashboard,Finance,9,2,2,2,1219614.67
CRM System,Retail,13,10,1,10,7742334.69
Blockchain Solution,Education,1,7,2,3,565246.18
SaaS Product,Education,2,2,1,0,217269.44
Business Intelligence Dashboard,Retail,13,9,1,2,6859006.2
SaaS Product,Healthcare,9,6,2,10,4471921.51
Mobile Application,Finance,7,8,2,7,4172736.81
Blockchain Solution,Healthcare,16,8,1,1,10610674.33
DevOps Automation,Startup,7,8,4,1,3854245.05
IoT System,Education,6,7,2,8,2562224.92
Web Application,Startup,18,12,3,4,20375528.73
AI/ML Solution,Education,11,9,3,4,6906560.95
CRM System,Education,12,10,1,0,6816311.77
ERP System,Startup,10,13,5,5,11599234.54
AI/ML Solution,Startup,13,3,1,7,2247064.6
Business Intelligence Dashboard,Healthcare,12,8,1,5,6130029.71
E-commerce Platform,Startup,10,3,4,6,1843504.07
CRM System,Healthcare,18,7,4,3,11848471.53
IoT System,Healthcare,4,3,5,1,1045751.88
Cybersecurity Implementation,Healthcare,5,11,5,0,5350265.79
IoT System,Education,5,7,5,5,2611674.7
ERP System,Education,12,3,5,8,3148369.9
Web Application,Startup,3,2,5,9,430502.03
IoT System,Education,8,8,1,4,3868520.49
Cloud Migration,Startup,2,4,1,1,354402.67
Cybersecurity Implementation,Education,18,15,3,0,19337839.97
AI/ML Solution,Finance,9,13,3,2,10721947.73
DevOps Automation,Finance,13,15,2,3,14381444.2
Mobile Application,Startup,7,14,1,6,5457406.72
Cloud Migration,Education,10,5,5,8,6972959.34
Legacy System Modernization,Education,9,14,2,7,8499865.1
Cybersecurity Implementation,Healthcare,15,7,4,8,10288304.35
DevOps Automation,Retail,5,6,1,6,1792005.9
DevOps Automation,Startup,12,5,3,9,3282195.69
CRM System,Retail,1,10,1,7,643377.43
Cybersecurity Implementation,Retail,12,7,1,7,5985524.28
Web Application,Startup,6,7,1,0,2156486.92
Business Intelligence Dashboard,Education,16,3,1,8,2824771.74
ERP System,Startup,3,7,4,1,1384275.12
Legacy System Modernization,Retail,10,8,3,10,6469079.59
ERP System,Education,18,9,1,6,10747325.03
AI/ML Solution,Finance,13,15,4,9,20878089.44
AI/ML Solution,Startup,18,9,2,9,9603422.06
ERP System,Startup,3,10,1,4,1856291.74
IoT System,Education,3,11,4,3,2330541.51
Web Application,Finance,12,12,5,0,13505644.83
SaaS Product,Finance,7,14,2,0,7694821.68
IoT System,Education,8,13,3,2,8263521.76
E-commerce Platform,Healthcare,9,4,1,0,2149534.56
IoT System,Startup,14,11,1,7,9938175.83
Mobile Application,Startup,5,8,4,2,2433794.46
Data Engineering Pipeline,Retail,16,8,3,10,9891120.75
Business Intelligence Dashboard,Education,12,2,5,9,1909651.32
Mobile Application,Retail,4,9,2,1,2285947.08
CRM System,Retail,8,5,3,5,2987372.04
Data Engineering Pipeline,Finance,7,6,1,3,2783658.26
Data Engineering Pipeline,Startup,15,15,4,10,18607576.52
Cybersecurity Implementation,Retail,6,7,5,10,3299727.47
Web Application,Finance,5,4,4,3,1598586.01
Web Application,Education,14,6,2,1,4414284.49
Data Engineering Pipeline,Retail,13,11,3,1,9730062.49
E-commerce Platform,Startup,10,6,4,10,4415213.57
IoT System,Retail,18,2,4,5,2941916.55
Cybersecurity Implementation,Education,4,4,1,4,1080105.56
Business Intelligence Dashboard,Retail,8,4,4,8,2618290.37
Data Engineering Pipeline,Startup,11,2,5,3,1661728.22
Cloud Migration,Finance,17,14,3,4,19472954.26
AI/ML Solution,Startup,18,8,2,0,8300925.19
AI/ML Solution,Finance,11,2,4,1,2213391.53
Mobile Application,Healthcare,16,8,5,2,11356409.78
CRM System,Startup,12,5,2,4,3115881.19
Blockchain Solution,Startup,13,10,5,4,11551363.09
Blockchain Solution,Education,16,8,4,3,11642878.21
AI/ML Solution,Retail,1,6,4,9,601762.07
SaaS Product,Finance,16,8,3,2,19365749.26
DevOps Automation,Finance,15,10,1,8,10299366.38
Mobile Application,Education,6,11,5,0,5096743.0
Blockchain Solution,Education,12,7,1,5,5200400.38
AI/ML Solution,Retail,8,2,1,6,1064552.94
CRM System,Retail,7,7,2,9,3426121.91
Blockchain Solution,Startup,2,2,2,3,291001.24
IoT System,Healthcare,12,14,5,9,17274855.68
IoT System,Retail,14,13,1,2,10832551.19
Web Application,Education,16,5,3,7,5169830.0
E-commerce Platform,Retail,11,15,1,8,10800610.89
Web Application,Finance,9,9,2,0,5683194.96
Business Intelligence Dashboard,Healthcare,10,6,1,10,3673493.49
Data Engineering Pipeline,Startup,17,6,4,9,7654786.82
Cloud Migration,Finance,12,14,4,8,17758425.16
Web Application,Finance,6,11,3,6,5270599.95
Legacy System Modernization,Healthcare,11,12,5,0,11546350.93
Blockchain Solution,Startup,9,9,1,6,5304031.13
SaaS Product,Education,6,9,4,4,4241016.59
Cybersecurity Implementation,Startup,16,2,5,9,2729033.65
AI/ML Solution,Retail,16,14,4,6,18372187.55
Cybersecurity Implementation,Finance,6,14,5,8,7589852.05
Legacy System Modernization,Retail,5,6,5,7,2724240.4
CRM System,Education,4,13,4,5,7311258.89
Web Application,Retail,2,6,2,1,748806.44
Cloud Migration,Startup,6,9,5,7,4187263.27
CRM System,Retail,9,2,1,3,960404.76
DevOps Automation,Education,17,8,4,7,16600675.87
DevOps Automation,Education,14,8,2,6,6379322.57
Cybersecurity Implementation,Education,7,14,4,3,7954906.21
Data Engineering Pipeline,Startup,1,10,3,7,697209.87
Mobile Application,Education,15,3,1,10,4244389.29
Data Engineering Pipeline,Finance,18,4,3,10,5947580.15
Blockchain Solution,Education,3,5,5,10,1440573.57
Legacy System Modernization,Retail,18,2,5,1,4983458.89
IoT System,Retail,2,8,3,8,1383626.61
Business Intelligence Dashboard,Retail,10,15,3,5,10257083.2
Data Engineering Pipeline,Startup,11,11,5,6,7943569.93
E-commerce Platform,Retail,3,4,2,9,838789.29
Business Intelligence Dashboard,Startup,7,4,1,0,1444574.73
Legacy System Modernization,Startup,8,4,4,2,2303226.52
Business Intelligence Dashboard,Education,18,9,3,9,11232748.65
Cloud Migration,Finance,13,10,1,4,10294460.48
Web Application,Education,13,11,4,6,9351432.93
Cloud Migration,Education,12,14,4,0,11790212.6
Business Intelligence Dashboard,Startup,17,15,3,8,12982302.05
CRM System,Startup,12,3,2,4,2122532.45
DevOps Automation,Retail,13,11,2,2,9807044.15
Business Intelligence Dashboard,Retail,12,11,1,6,7053906.89
Cloud Migration,Education,14,2,1,9,1795048.58
SaaS Product,Healthcare,7,15,5,7,10312393.25
Legacy System Modernization,Healthcare,13,10,2,9,15178535.08
CRM System,Retail,6,7,1,9,2798357.37
Cloud Migration,Healthcare,4,15,5,2,5615607.03
Data Engineering Pipeline,Retail,9,10,4,6,7789812.6
AI/ML Solution,Startup,16,7,1,6,5504233.6
Cybersecurity Implementation,Education,4,3,5,3,991853.44
Mobile Application,Finance,6,2,2,9,908132.09
IoT System,Education,8,15,4,8,8876738.92
Cloud Migration,Retail,16,9,1,0,7302095.36
E-commerce Platform,Retail,5,4,2,0,1143683.66
Mobile Application,Education,10,2,4,4,1457545.66
Legacy System Modernization,Retail,13,9,3,2,8361503.92
SaaS Product,Healthcare,14,13,2,9,15500519.69
ERP System,Healthcare,7,2,3,8,1592218.96
Cloud Migration,Retail,6,9,1,4,3395576.15
AI/ML Solution,Retail,7,2,5,6,1899673.37
Mobile Application,Healthcare,5,10,1,0,2582233.95
IoT System,Retail,18,15,2,1,18743275.35
Business Intelligence Dashboard,Retail,12,10,3,10,8868094.61
Cloud Migration,Education,6,13,3,3,5336621.86
Web Application,Finance,1,14,4,8,1241758.64
SaaS Product,Healthcare,4,10,1,4,2610545.63
Legacy System Modernization,Education,12,4,1,4,2717552.39
Cybersecurity Implementation,Finance,15,5,2,8,6713090.28
AI/ML Solution,Retail,3,6,3,7,1590702.68
Blockchain Solution,Retail,8,7,2,1,3820949.54
Blockchain Solution,Education,11,10,2,6,8294531.66
E-commerce Platform,Retail,16,14,3,0,15269610.38
Mobile Application,Startup,9,12,2,9,7015606.46
AI/ML Solution,Education,3,13,3,10,3405221.72
CRM System,Finance,5,5,2,10,2095958.01
IoT System,Education,14,15,5,8,20491627.59
Cybersecurity Implementation,Healthcare,15,15,2,2,18037935.06
Business Intelligence Dashboard,Education,6,7,2,1,2379813.17
Cloud Migration,Retail,4,14,5,3,4765712.64
Cloud Migration,Retail,8,2,1,3,992966.24
Blockchain Solution,Startup,5,3,3,2,1044706.56
Cloud Migration,Startup,13,9,4,1,8159336.23
Legacy System Modernization,Startup,16,5,5,4,6433234.44
Cybersecurity Implementation,Finance,1,11,1,3,870625.3
Web Application,Startup,13,8,2,4,6018792.43
ERP System,Finance,11,5,1,7,4333462.42
E-commerce Platform,Startup,8,15,5,10,9506173.99
DevOps Automation,Finance,8,10,2,1,5678321.58
Data Engineering Pipeline,Education,14,10,1,8,8941912.25
E-commerce Platform,Education,13,5,4,9,4954376.33
Mobile Application,Retail,3,14,3,0,5182433.13
Web Application,Finance,4,9,3,7,2971605.23
E-commerce Platform,Healthcare,15,7,5,4,9884941.29
Business Intelligence Dashboard,Retail,15,2,2,1,2856668.58
Blockchain Solution,Education,13,8,2,7,5979005.56
SaaS Product,Finance,9,2,3,4,1584513.74
Mobile Application,Startup,10,4,1,9,2221500.29
Cloud Migration,Healthcare,12,9,2,9,7636339.57
AI/ML Solution,Education,14,10,4,2,11072994.48
Business Intelligence Dashboard,Retail,1,4,4,6,295778.6
Mobile Application,Finance,14,2,2,3,2210979.14
SaaS Product,Healthcare,14,2,2,10,2289242.73
IoT System,Finance,8,8,3,10,5778029.99
Cloud Migration,Startup,16,6,5,9,8015950.85
E-commerce Platform,Retail,14,14,3,5,15619484.31
E-commerce Platform,Finance,1,15,5,9,1521589.48
Mobile Application,Education,16,2,4,7,2430038.79
AI/ML Solution,Retail,18,7,5,0,12094422.03
IoT System,Education,7,15,3,1,7770091.07
Cloud Migration,Finance,15,7,2,7,9142898.46
SaaS Product,Retail,17,15,5,6,20153242.68
ERP System,Education,13,5,3,9,5332423.07
E-commerce Platform,Startup,9,8,4,8,5675955.34
SaaS Product,Startup,15,8,5,1,7760650.96
Web Application,Finance,3,13,4,7,2818062.54
E-commerce Platform,Retail,1,10,4,5,735246.38
SaaS Product,Healthcare,16,13,1,0,11567649.99
CRM System,Retail,8,2,5,3,1301829.26
Blockchain Solution,Startup,13,6,3,1,5944275.9
Data Engineering Pipeline,Education,8,11,5,6,7278704.45
Cybersecurity Implementation,Healthcare,17,4,5,8,7435658.59
Blockchain Solution,Finance,14,8,4,5,12388912.83
Legacy System Modernization,Healthcare,7,5,4,3,2470498.17
Data Engineering Pipeline,Finance,15,5,4,4,7338136.3
Business Intelligence Dashboard,Healthcare,16,14,4,10,19483625.88
SaaS Product,Finance,6,13,3,0,5886424.17
Data Engineering Pipeline,Finance,1,2,2,3,148625.17
Legacy System Modernization,Healthcare,12,2,1,9,1355502.88
Cloud Migration,Healthcare,18,11,4,2,14764396.81
ERP System,Finance,16,3,4,8,4748129.73
CRM System,Startup,12,3,1,5,2010212.27
Web Application,Healthcare,13,2,4,3,1838509.35
SaaS Product,Retail,8,9,2,2,5069236.71
Web Application,Education,1,7,5,3,436513.58
AI/ML Solution,Finance,7,7,1,7,3200404.28
E-commerce Platform,Finance,15,11,3,4,20164868.17
SaaS Product,Education,13,11,1,10,10277585.23
Cybersecurity Implementation,Startup,13,10,2,0,7767128.26
SaaS Product,Education,9,6,3,4,4047700.1
Mobile Application,Healthcare,15,5,5,7,7056740.65
ERP System,Education,4,12,4,10,4257598.87
Mobile Application,Finance,13,7,1,3,5891424.18
SaaS Product,Education,12,9,3,1,7055454.71
CRM System,Retail,5,15,1,2,4359407.45
Data Engineering Pipeline,Healthcare,7,2,5,10,1177625.43
Web Application,Education,8,8,1,8,3586214.52
CRM System,Finance,5,9,3,6,4136201.88
SaaS Product,Healthcare,9,10,2,2,6399037.98
Legacy System Modernization,Finance,14,12,3,4,21994129.3
Data Engineering Pipeline,Startup,12,9,1,2,6643465.02
Legacy System Modernization,Retail,4,8,5,9,2827574.11
Web Application,Startup,8,4,4,3,1842401.19
Data Engineering Pipeline,Retail,17,3,4,7,4442672.62
Cybersecurity Implementation,Education,8,4,5,2,2669947.96
ERP System,Healthcare,1,5,1,2,298840.64
Blockchain Solution,Education,2,5,5,10,984861.04
IoT System,Retail,4,7,1,10,1642492.02
Business Intelligence Dashboard,Retail,1,13,3,7,958941.84
CRM System,Retail,7,8,2,9,4190567.69
E-commerce Platform,Finance,1,13,1,9,828498.27
CRM System,Healthcare,9,5,4,6,4304996.82
IoT System,Education,3,11,4,6,2279084.09
Blockchain Solution,Education,12,7,2,9,6675769.91
DevOps Automation,Startup,15,10,1,1,7754563.22
Cloud Migration,Retail,16,15,2,6,16851576.87
Cybersecurity Implementation,Retail,10,7,3,9,6147628.08
Legacy System Modernization,Retail,6,15,2,10,6394653.55
SaaS Product,Education,17,4,3,9,5437546.29
Cybersecurity Implementation,Startup,17,2,4,2,2563239.03
IoT System,Finance,18,12,3,6,19628922.71
SaaS Product,Healthcare,11,11,1,3,8246176.82
E-commerce Platform,Finance,7,11,1,7,5092585.77
Mobile Application,Education,10,14,1,7,7130439.01
Data Engineering Pipeline,Retail,7,6,1,5,2174810.48
Cloud Migration,Healthcare,5,11,5,2,5460202.16
ERP System,Education,12,11,3,5,10687991.42
ERP System,Education,16,4,1,5,3628323.45
IoT System,Education,18,9,2,2,11607454.85
Cybersecurity Implementation,Healthcare,3,11,2,10,2673572.35
ERP System,Healthcare,15,2,5,3,2772054.08
E-commerce Platform,Startup,5,12,3,1,4000852.95
Legacy System Modernization,Startup,13,3,3,0,2383501.91
DevOps Automation,Finance,12,4,3,1,7128195.15
CRM System,Healthcare,5,4,5,6,1896525.04
AI/ML Solution,Healthcare,6,13,3,9,7231649.8
E-commerce Platform,Healthcare,7,9,3,4,4730164.83
SaaS Product,Startup,10,6,1,8,3566230.14
Business Intelligence Dashboard,Education,16,9,3,2,9622219.64
IoT System,Retail,8,12,1,1,5580012.33
Mobile Application,Startup,9,15,1,3,7503593.25
Data Engineering Pipeline,Healthcare,4,12,3,1,3768284.06
Business Intelligence Dashboard,Startup,8,7,2,10,3234056.68
Data Engineering Pipeline,Finance,7,13,4,6,8046258.28
Web Application,Healthcare,15,3,2,9,3416928.05
Business Intelligence Dashboard,Finance,3,12,3,5,2898643.08
AI/ML Solution,Healthcare,17,5,3,7,7616133.48
Cybersecurity Implementation,Startup,11,10,2,4,6334564.05
DevOps Automation,Education,9,5,3,1,2617291.08
CRM System,Retail,5,6,1,3,1946539.76
CRM System,Finance,10,6,5,0,5330728.73
DevOps Automation,Startup,15,11,3,1,10562596.99
Legacy System Modernization,Education,14,9,3,3,9393066.3
